Ville;Quartier;Prix;Type de Bien;Surface;Nombre de Chambres;Nombre de Salles de Bain;Etage;Terrasse;Garage;Ascenseur;Piscine;Securite
agadir;hay salam;850000.0;appartement;65.0;2.0;1.0;3.0;0;0;1;0;1
agadir;port;4200000.0;appartement;118.0;2.0;2.0;3.0;1;1;1;1;0
agadir;zone industrielle agadir;1350000.0;appartement;98.0;2.0;2.0;2.0;0;1;1;0;1
agadir;tilila;3500000.0;villa;240.0;3.0;3.0;0.0;1;1;0;0;0
agadir;hay mohammadi;850000.0;appartement;60.0;2.0;1.0;2.0;0;0;0;0;0
agadir;tilila;19000.0;terrain;225.0;0.0;0.0;0.0;0;0;0;0;0
agadir;hay mohammadi;600000.0;appartement;53.0;2.0;2.0;2.0;0;1;1;0;1
agadir;amicales;750000.0;appartement;55.0;3.0;1.0;3.0;0;0;0;0;0
agadir;abattoirs;1490000.0;appartement;92.0;2.0;1.0;6.0;0;0;1;0;0
agadir;hay salam;1150000.0;appartement;80.0;2.0;1.0;2.0;0;1;1;0;1
agadir;hay houda;1000000.0;appartement;95.0;2.0;1.0;3.0;1;0;1;0;0
agadir;hay mohammadi;920000.0;appartement;102.0;2.0;1.0;3.0;0;1;1;0;0
agadir;hay mohammadi;979000.0;appartement;89.0;3.0;1.0;3.0;0;0;0;0;0
agadir;haut founty;3000000.0;bureau;63.0;0.0;1.0;3.0;0;0;0;0;0
agadir;hay salam;13500.0;appartement;110.0;3.0;2.0;1.0;1;0;1;0;0
agadir;founti;2620000.0;local commercial;50.0;0.0;1.0;0.0;0;0;0;0;0
agadir;founti;1452500.0;bureau;83.0;0.0;1.0;4.0;0;1;1;0;0
agadir;founti;2553000.0;bureau;111.0;0.0;1.0;3.0;1;0;1;0;0
agadir;founti;5100000.0;local commercial;88.0;0.0;1.0;0.0;0;1;0;0;0
agadir;hay houda;880000.0;appartement;69.0;2.0;2.0;3.0;0;1;1;0;1
agadir;abattoirs;896000.0;local commercial;64.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay houda;843000.0;appartement;66.0;2.0;2.0;3.0;0;1;1;0;1
agadir;hay houda;798000.0;appartement;63.0;2.0;2.0;3.0;0;1;1;0;1
agadir;hay houda;948000.0;appartement;75.0;2.0;2.0;3.0;0;1;1;0;1
agadir;hay houda;1320000.0;appartement;96.0;3.0;2.0;3.0;0;1;1;1;1
agadir;abattoirs;1125000.0;local commercial;75.0;0.0;1.0;0.0;0;0;0;0;0
agadir;hay houda;708000.0;appartement;59.0;2.0;1.0;3.0;0;1;1;0;1
agadir;hay salam;730000.0;appartement;62.0;2.0;2.0;2.0;1;0;0;0;1
agadir;founti;5900000.0;local commercial;206.0;0.0;2.0;0.0;0;0;0;0;1
agadir;hay mohammadi;2800000.0;local commercial;203.0;0.0;1.0;0.0;0;1;0;0;1
agadir;founti;5050000.0;local commercial;135.0;0.0;2.0;0.0;0;0;0;0;1
agadir;zone industrielle agadir;1160000.0;bureau;77.0;0.0;1.0;3.0;0;1;1;0;1
agadir;hay mohammadi;860000.0;appartement;72.0;3.0;2.0;2.0;0;0;0;0;0
agadir;founti;1400000.0;bureau;72.0;0.0;1.0;3.0;0;1;1;0;1
agadir;hay zaytoun;1400000.0;terrain;200.0;0.0;0.0;0.0;0;0;0;0;0
agadir;founti;7500000.0;villa;393.0;5.0;5.0;0.0;1;1;0;0;1
agadir;hay salam;1150000.0;maison;65.0;2.0;1.0;0.0;0;1;0;0;0
agadir;hay mohammadi;780000.0;appartement;58.0;2.0;1.0;5.0;0;0;1;0;1
agadir;cit adrar;460000.0;appartement;52.0;3.0;1.0;2.0;0;0;0;0;0
agadir;founti;1950000.0;appartement;90.0;3.0;2.0;3.0;0;1;1;1;0
