Ville;Quartier;Prix;Type de Bien;Surface;Nombre de Pièces;Nombre de Chambres;Nombre de Salles de Bain;Étage;État;Terrasse;Garage;Ascenseur;Piscine;Sécurité;;;;;;;;;;;
Marrakech;Hay Al Hassani;Prix à consulter;Appartement;54;2 Pièces;1 Chambre;1 Salle de bain;2ème;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Guéliz;Prix à consulter;Appartement;65;3 Pièces;2 Chambres;1 Salle de bain;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Ennakhil (Palmeraie);4 950 000 EUR;Villa;1640;8 Pièces;8 Chambres;8 Salles de bains;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Agdal;1 900 000 DH;Appartement;75;3 Pièces;2 Chambres;2 Salles de bains;1er;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
marrakech;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Ennakhil (Palmeraie);9 000 000 EUR;Villa;2800;7 Pièces;7 Chambres;7 Salles de bains;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Guéliz;2 800 000 DH;Local commercial;74;Nan;Nan;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Kbour Chou;1 850 000 DH;Riad;140;7 Pièces;5 Chambres;2 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Riad Zitoun;450 000 EUR;Riad;280;6 Pièces;4 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Non;Non;;;;;;;;;;;
Marrakech;Samlalia;1 400 000 DH;Appartement;90;3 Pièces;2 Chambres;2 Salles de bains;Nan;Nan;Non;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Majorelle;970 000 DH;Appartement;114;4 Pièces;3 Chambres;2 Salles de bains;Nan;Nan;Non;Non;Oui;Non;Non;;;;;;;;;;;
Marrakech;Daoudiat;980 000 DH;Appartement;76;3 Pièces;2 Chambres;1 Salle de bain;Nan;Nan;Oui;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Arset Sbaia;3 100 000 DH;Maison;221;6 Pièces;5 Chambres;3 Salles de bains;Nan;Nan;Oui;Oui;Non;Non;Non;;;;;;;;;;;
Marrakech;Hay Inara;2 600 000 DH;Appartement;223;6 Pièces;5 Chambres;3 Salles de bains;Nan;Nan;Oui;Oui;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de Fez;750 000 DH;Appartement;78;3 Pièces;2 Chambres;1 Salle de bain;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Masmoudi;Prix à consulter;Terrain;400;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Samlalia;943 500 DH;Appartement;39;2 Pièces;1 Chambre;1 Salle de bain;Nan;Nan;Oui;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Sidi Mansour;3 250 000 DH;Riad;200;6 Pièces;2 Chambres;1 Salle de bain;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Moulay Lyazid;3 250 000 DH;Riad;340;5 Pièces;4 Chambres;2 Salles de bains;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Sidi Mansour;2 000 000 DH;Appartement;67;4 Pièces;3 Chambres;1 Salle de bain;2ème;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Sidi Mansour;3 250 000 DH;Riad;215;2 Pièces;4 Chambres;2 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Derb Chtouka;2 200 000 DH;Riad;64;6 Pièces;3 Chambres;2 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Agdal;3 000 000 DH;Appartement;242;5 Pièces;2 Chambres;2 Salles de bains;1er;Nan;Oui;Non;Non;Oui;Non;;;;;;;;;;;
Marrakech;Route de Fez;3 850 000 DH;Maison;350;8 Pièces;5 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Samlalia;2 900 000 DH;Appartement;325;7 Pièces;4 Chambres;5 Salles de bains;5ème;Nan;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Guéliz;1 000 000 DH;Appartement;55;2 Pièces;1 Chambre;1 Salle de bain;1er;Nan;Oui;Non;Oui;Oui;Non;;;;;;;;;;;
Marrakech;Guéliz;4 160 000 DH;Bureau;198;Nan;Nan;4 Salles de bains;3ème;Nan;Non;Non;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Route de Tahanaout;2 000 000 DH;Terrain;269;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Azli;650 000 DH;Appartement;76;3 Pièces;2 Chambres;1 Salle de bain;3ème;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Guéliz;1 700 000 DH;Appartement;89;3 Pièces;2 Chambres;2 Salles de bains;Nan;Nan;Non;Non;Oui;Non;Non;;;;;;;;;;;
Marrakech;Ben Saleh;460 000 EUR;Riad;300;7 Pièces;5 Chambres;2 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de Ouarzazate;3 200 000 EUR;Villa;1300;7 Pièces;7 Chambres;6 Salles de bains;Nan;Nan;Oui;Non;Non;Oui;Non;;;;;;;;;;;
Marrakech;Route Casablanca;6 000 000 DH;Local commercial;114;Nan;Nan;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Bab Lhmar;3 600 000 DH;Riad;260;6 Pièces;5 Chambres;2 Salles de bains;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Bouaakkaz;4 938 500 DH;Terrain;2822;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Amelkis;890 000 DH;Terrain;84;Nan;Nan;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;1 700 000 DH;Appartement;113;3 Pièces;2 Chambres;1 Salle de bain;1er;Nan;Oui;Non;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Route Amizmiz;3 500 000 DH;Terrain;751;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
marrakech;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route Casablanca;980 000 DH;Bureau;74;Nan;Nan;2 Salles de bains;3ème;Nan;Non;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;470 000 EUR;Villa;2792;9 Pièces;6 Chambres;6 Salles de bains;Nan;Nan;Non;Non;Non;Oui;Non;;;;;;;;;;;
Marrakech;Guéliz;500 000 EUR;Villa;164;10 Pièces;6 Chambres;1 Salle de bain;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Sidi Bou Amar;750 000 EUR;Riad;99;11 Pièces;8 Chambres;8 Salles de bains;Nan;Nan;Oui;Oui;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;1 350 000 EUR;Terrain;12500;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Sidi Ben Slimane El Jazouli;370 000 EUR;Riad;154;5 Pièces;3 Chambres;3 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Arset Ihiri;600 000 EUR;Riad;110;10 Pièces;3 Chambres;3 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Camp Al Ghoul;1 650 000 DH;Appartement;108;3 Pièces;2 Chambres;1 Salle de bain;4ème;Nan;Non;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Rmila;1 000 000 EUR;Riad;300;11 Pièces;10 Chambres;2 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de Safi;2 400 000 DH;Villa;140;1 Pièce;3 Chambres;2 Salles de bains;Nan;Nan;Oui;Non;Non;Oui;Non;;;;;;;;;;;
Marrakech;Hay Targa;2 000 000 DH;Appartement;120;3 Pièces;2 Chambres;2 Salles de bains;Nan;Nan;Non;Oui;Non;Oui;Non;;;;;;;;;;;
Marrakech;Agdal;1 700 000 DH;Appartement;44;2 Pièces;1 Chambre;1 Salle de bain;2ème;Nan;Oui;Non;Non;Oui;Non;;;;;;;;;;;
Marrakech;Guéliz;890 000 DH;Bureau;44;Nan;Nan;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Majorelle;2 800 000 DH;Appartement;306;1 Pièce;4 Chambres;3 Salles de bains;Nan;Nan;Oui;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Moulay Lyazid;7 000 000 DH;Riad;200;1 Pièce;7 Chambres;4 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Ennakhil (Palmeraie);2 300 000 000 DH;Villa;38000;14 Pièces;8 Chambres;11 Salles de bains;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Mhamid;Prix à consulter;Appartement;62;1 Pièce;2 Chambres;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Amelkis;2 200 000 DH;Terrain;500;Nan;Nan;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Hay Al Haouz;2 360 000 DH;Maison;100;7 Pièces;3 Chambres;2 Salles de bains;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de Tahanaout;24 800 000 DH;Terrain;40000;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Arset Ihiri;1 700 000 DH;Riad;200;6 Pièces;5 Chambres;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;6 500 000 DH;Villa;270;5 Pièces;4 Chambres;5 Salles de bains;Nan;Nan;Oui;Non;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Amelkis;2 200 000 DH;Terrain;500;Nan;Nan;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Berrima;1 890 000 EUR;Bureau;526;Nan;7 Chambres;6 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Oui;;;;;;;;;;;
Marrakech;Hay Mabrouka;2 500 000 DH;Local commercial;95;Nan;Nan;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Guéliz;1 550 000 DH;Appartement;120;6 Pièces;3 Chambres;2 Salles de bains;3ème;Nan;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Guéliz;950 000 DH;Appartement;42;2 Pièces;1 Chambre;1 Salle de bain;5ème;Nan;Oui;Non;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Samlalia;2 900 000 DH;Local commercial;428;Nan;Nan;2 Salles de bains;Nan;Nan;Non;Non;Non;Non;Oui;;;;;;;;;;;
Marrakech;Guéliz;1 400 000 DH;Appartement;47;2 Pièces;1 Chambre;1 Salle de bain;2ème;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Route Amizmiz;1 550 000 DH;Appartement;40;2 Pièces;1 Chambre;1 Salle de bain;1er;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Ain Mezouar;1 900 000 DH;Appartement;121;5 Pièces;3 Chambres;2 Salles de bains;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Route de Tahanaout;5 800 000 DH;Villa;280;6 Pièces;4 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Route Amizmiz;1 950 000 DH;Appartement;90;5 Pièces;3 Chambres;2 Salles de bains;1er;Nan;Oui;Oui;Non;Oui;Non;;;;;;;;;;;
marrakech;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Guéliz;1 950 000 DH;Appartement;98;3 Pièces;2 Chambres;2 Salles de bains;1er;Nan;Oui;Non;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Arset Ben Chebli;20 000 000 DH;Riad;850;15 Pièces;10 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Non;Non;;;;;;;;;;;
Marrakech;Bab Ghmat;7 000 000 DH;Riad;200;10 Pièces;6 Chambres;5 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Mhamid;635 000 DH;Appartement;58;5 Pièces;2 Chambres;1 Salle de bain;3ème;Nan;Non;Non;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Route de Fez;4 750 000 DH;Maison;150;5 Pièces;3 Chambres;3 Salles de bains;Nan;Nan;Oui;Non;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Arset El Maach;Prix à consulter;Riad;1300;15 Pièces;7 Chambres;7 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;8 305 000 DH;Villa;458;8 Pièces;4 Chambres;4 Salles de bains;Nan;Nan;Non;Non;Non;Oui;Non;;;;;;;;;;;
Marrakech;Sidi Ghanem;6 200 000 DH;Maison;375;8 Pièces;5 Chambres;5 Salles de bains;Nan;Nan;Non;Non;Non;Oui;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;Prix à consulter;Maison;400;8 Pièces;5 Chambres;5 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Non;;;;;;;;;;;
Marrakech;Arset Ben Chebli;7 600 000 DH;Riad;364;8 Pièces;4 Chambres;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Hay Targa;3 025 100 DH;Terrain;917;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Hay Targa;3 200 000 DH;Terrain;1000;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Guéliz;1 900 000 DH;Appartement;90;3 Pièces;2 Chambres;1 Salle de bain;2ème;Nan;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Amelkis;2 200 000 DH;Terrain;500;Nan;4 Chambres;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Amelkis;2 200 000 DH;Terrain;500;Nan;Nan;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Amelkis;890 000 DH;Terrain;84;Nan;Nan;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de Tahanaout;Prix à consulter;Terrain;10774;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de Ouarzazate;2 600 000 DH;Villa;170;5 Pièces;4 Chambres;4 Salles de bains;Nan;Nan;Non;Non;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Boulevard Med 6;2 450 000 DH;Appartement;148;3 Pièces;2 Chambres;3 Salles de bains;3ème;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Route Casablanca;900 000 DH;Appartement;45;2 Pièces;1 Chambre;1 Salle de bain;Nan;Nan;Oui;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Route Casablanca;5 500 000 DH;Villa;456;7 Pièces;5 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Hay Targa;3 600 000 DH;Villa;300;4 Pièces;3 Chambres;3 Salles de bains;Nan;Nan;Oui;Non;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Route Casablanca;1 865 000 DH;Appartement;107;3 Pièces;2 Chambres;2 Salles de bains;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Hay Targa;4 000 000 DH;Villa;247;9 Pièces;5 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Route de l'Ourika;5 600 000 DH;Villa;370;8 Pièces;6 Chambres;5 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Route de Tahanaout;4 400 000 DH;Villa;216;6 Pièces;4 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Non;;;;;;;;;;;
Marrakech;Camp Al Ghoul;1 250 000 DH;Appartement;79;2 Pièces;1 Chambre;2 Salles de bains;Nan;Nan;Non;Non;Oui;Non;Non;;;;;;;;;;;
Marrakech;Boulevard Med 6;1 498 000 DH;Appartement;92;2 Pièces;1 Chambre;1 Salle de bain;5ème;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Hay Targa;5 125 000 DH;Villa;500;10 Pièces;6 Chambres;6 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Hay Targa;4 500 000 DH;Villa;480;9 Pièces;6 Chambres;6 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Agdal;4 850 000 DH;Villa;300;6 Pièces;3 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Route Casablanca;2 220 000 DH;Appartement;127;6 Pièces;3 Chambres;1 Salle de bain;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Route de Fez;9 850 000 DH;Villa;3500;14 Pièces;10 Chambres;8 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
marrakech;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Amelkis;890 000 DH;Terrain;84;Nan;Nan;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Guéliz;1 800 000 DH;Appartement;91;3 Pièces;2 Chambres;1 Salle de bain;3ème;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Guéliz;1 800 000 DH;Appartement;88;3 Pièces;2 Chambres;2 Salles de bains;4ème;Nan;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Guéliz;1 900 000 DH;Appartement;81;3 Pièces;2 Chambres;2 Salles de bains;1er;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Guéliz;1 800 000 DH;Appartement;90;3 Pièces;2 Chambres;2 Salles de bains;3ème;Nan;Non;Oui;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Guéliz;2 300 000 DH;Appartement;88;3 Pièces;2 Chambres;1 Salle de bain;1er;Nan;Oui;Non;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Izdihar;1 600 000 DH;Appartement;101;3 Pièces;2 Chambres;1 Salle de bain;1er;Nan;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Samlalia;740 000 DH;Appartement;59;1 Pièce;1 Chambre;1 Salle de bain;Nan;Nan;Non;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Route de Ouarzazate;19 800 000 DH;Villa;778;10 Pièces;6 Chambres;6 Salles de bains;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Amelkis;8 500 000 DH;Villa;507;7 Pièces;6 Chambres;6 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Non;;;;;;;;;;;
Marrakech;Amelkis;890 000 DH;Terrain;84;Nan;Nan;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route Casablanca;550 000 EUR;Villa;300;6 Pièces;5 Chambres;5 Salles de bains;Nan;Nan;Non;Non;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Amelkis;2 200 000 DH;Terrain;500;Nan;Nan;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Amelkis;2 200 000 DH;Terrain;500;Nan;Nan;Nan;Nan;Finalisé;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;6 500 000 DH;Villa;1000;4 Pièces;4 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Route Casablanca;750 000 DH;Appartement;74;4 Pièces;2 Chambres;1 Salle de bain;3ème;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Hivernage;1 080 000 DH;Appartement;45;2 Pièces;1 Chambre;1 Salle de bain;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Samlalia;1 250 000 DH;Appartement;82;5 Pièces;2 Chambres;1 Salle de bain;1er;Nan;Non;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Assif;2 800 000 DH;Villa;200;10 Pièces;4 Chambres;2 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;700 000 EUR;Villa;910;6 Pièces;4 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Arset Sbaia;1 050 000 DH;Appartement;50;2 Pièces;1 Chambre;1 Salle de bain;2ème;Nan;Oui;Oui;Oui;Oui;Non;;;;;;;;;;;
Marrakech;Agdal;8 900 000 DH;Villa;1045;5 Pièces;5 Chambres;5 Salles de bains;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Guéliz;1 537 500 DH;Appartement;63;2 Pièces;1 Chambre;1 Salle de bain;5ème;Nan;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Hay Targa;2 900 000 DH;Villa;241;5 Pièces;4 Chambres;3 Salles de bains;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Guéliz;1 332 500 DH;Appartement;44;2 Pièces;1 Chambre;1 Salle de bain;1er;Nan;Oui;Oui;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Route de Ouarzazate;2 500 000 DH;Ferme;150000;Nan;Nan;Nan;Nan;Nan;Non;Oui;Non;Non;Oui;;;;;;;;;;;
Marrakech;Riad Al Atlas;1 300 000 DH;Appartement;60;3 Pièces;1 Chambre;1 Salle de bain;3ème;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Route de Tahanaout;4 400 000 DH;Villa;283;6 Pièces;4 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Azzouzia;Prix à consulter;Local commercial;30;Nan;Nan;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de Fez;500 000 DH;Ferme;75000;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Guéliz;1 550 000 DH;Appartement;63;2 Pièces;1 Chambre;1 Salle de bain;Nan;Nan;Oui;Oui;Oui;Non;Non;;;;;;;;;;;
Marrakech;Riad Zitoun;5 000 000 DH;Maison;173;2 Pièces;5 Chambres;2 Salles de bains;Nan;Nan;Oui;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route Casablanca;950 000 DH;Terrain;10000;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
marrakech;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route Casablanca;3 100 000 DH;Villa;160;8 Pièces;5 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Non;Non;;;;;;;;;;;
Marrakech;Arset Sbaia;1 550 000 DH;Appartement;90;4 Pièces;2 Chambres;1 Salle de bain;1er;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Route de l'Ourika;Prix à consulter;Villa;983;1 Pièce;3 Chambres;2 Salles de bains;Nan;Nan;Non;Oui;Non;Oui;Non;;;;;;;;;;;
Marrakech;Guéliz;1 350 000 DH;Appartement;106;3 Pièces;2 Chambres;2 Salles de bains;3ème;Nan;Non;Oui;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Sidi Youssef;1 700 000 DH;Villa;136;6 Pièces;3 Chambres;4 Salles de bains;Nan;Nan;Non;Oui;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;3 350 000 DH;Villa;301;5 Pièces;3 Chambres;3 Salles de bains;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;12 000 000 DH;Villa;2300;6 Pièces;4 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Agdal;1 900 000 DH;Terrain;549;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route Amizmiz;5 600 000 DH;Villa;800;4 Pièces;3 Chambres;4 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Oui;;;;;;;;;;;
Marrakech;Route Amizmiz;2 835 000 DH;Terrain;10000;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route Casablanca;1 743 000 DH;Appartement;134;3 Pièces;2 Chambres;1 Salle de bain;Nan;Nan;Oui;Non;Non;Oui;Non;;;;;;;;;;;
Marrakech;Route Amizmiz;350 000 EUR;Villa;302;1 Pièce;4 Chambres;4 Salles de bains;Nan;Nan;Oui;Non;Non;Oui;Non;;;;;;;;;;;
Marrakech;Route de l'Ourika;2 200 000 DH;Terrain;560;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Route Amizmiz;10 000 000 DH;Terrain;13100;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Guéliz;4 500 000 DH;Local commercial;89;Nan;Nan;1 Salle de bain;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Mhamid;49 000 EUR;Appartement;63;5 Pièces;2 Chambres;1 Salle de bain;3ème;Nan;Non;Non;Oui;Non;Oui;;;;;;;;;;;
Marrakech;Route Casablanca;1 400 000 DH;Appartement;92;3 Pièces;2 Chambres;1 Salle de bain;2ème;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Route de Tahanaout;6 500 000 DH;Terrain;10000;Nan;Nan;Nan;Nan;Nan;Non;Non;Non;Non;Non;;;;;;;;;;;
Marrakech;Agdal;2 500 000 DH;Appartement;87;3 Pièces;2 Chambres;1 Salle de bain;1er;Nan;Oui;Oui;Oui;Oui;Oui;;;;;;;;;;;
Marrakech;Route de Fez;8 500 000 DH;Appartement;510;9 Pièces;6 Chambres;6 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Non;;;;;;;;;;;
Marrakech;Boulevard Med 6;7 000 000 DH;Villa;280;5 Pièces;3 Chambres;3 Salles de bains;Nan;Nan;Oui;Oui;Non;Oui;Non;;;;;;;;;;;
